STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER1,WEATHER2,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,LATITUDE,LONGITUD,VE_FORMS,WEATHER
1,21,2,8,5,40,1,8,0,0,5,4,0,10,0,6,1,1,2,45,1,1,2,1,70,3,0,4,1,0,0,6,5,6,15,99,99,0,0,0,0,4,5,0,10084,0,0,2007,1202,0,352329H,32534836,86412781,1,1
1,117,2,8,7,45,1,1,0,0,5,3,0,34,0,1,4,1,2,55,2,2,2,1,0,0,0,1,1,0,1,7,45,7,52,99,99,0,0,0,0,1,5,0,10085,0,1415,2007,SR-25,0,0,33154275,86265622,1,1
1,91,2,9,15,45,2,3,0,0,4,3,0,12,5,1,1,1,2,55,1,2,2,2,0,0,0,1,2,0,0,16,19,16,37,99,99,0,0,0,0,1,6,1,10086,0,340,2007,SR-10,0,0,32070232,87595889,2,2
1,87,2,9,22,0,1,1,0,0,4,4,0,42,0,1,4,1,2,45,1,1,2,1,0,0,0,2,1,0,0,22,0,22,10,0,0,0,0,0,0,1,6,1,10087,0,0,2007,1196,0,0,32315318,85391774,1,1
1,125,2,16,8,25,2,3,0,1,1,1,0,12,1,1,1,3,2,70,1,2,2,1,0,0,0,1,1,0,0,8,27,8,36,99,99,0,19,0,0,1,6,0,10088,0,799,2007,I-20,0,0,33103788,87230538,2,1
1,99,2,18,11,0,1,1,0,0,4,3,0,1,0,1,1,1,2,55,2,2,2,1,0,0,0,1,1,0,0,11,8,11,19,99,99,0,0,0,0,1,1,0,10089,0,892,2007,SR-59,0,0,31173566,87342078,1,1
1,121,2,19,15,10,2,2,0,0,3,3,0,12,2,1,1,1,2,55,2,1,2,1,0,0,0,1,1,0,0,15,16,15,26,0,0,0,0,0,0,1,2,0,10090,0,95,2007,SR-34,0,0,33310109,86085331,2,1
1,127,2,19,3,30,1,1,0,1,3,3,0,1,0,1,4,1,2,45,2,1,2,1,0,0,0,2,1,0,1,3,39,3,52,0,0,0,0,0,0,1,2,0,10091,0,505,2007,SR-118,0,0,33515033,87240526,1,1
1,131,2,19,12,30,1,3,0,0,3,3,0,42,0,1,4,1,2,55,1,2,2,1,0,0,0,1,1,0,0,12,38,12,55,99,99,0,0,0,0,1,2,0,10092,0,822,2007,SR-21,0,0,31581241,87041515,1,1
1,103,2,19,11,15,1,1,0,0,4,4,0,10,0,6,1,1,2,45,1,2,2,1,63,3,0,1,1,0,0,11,22,11,28,0,0,0,0,0,0,1,2,0,10093,0,0,2007,1137,0,352125w,34183666,86533348,1,1
1,13,2,19,19,30,1,1,0,1,1,1,0,42,0,1,4,2,2,70,1,1,2,1,0,0,0,2,1,0,0,19,46,20,4,0,0,0,0,0,0,1,2,0,10094,0,1329,2007,I-65,0,0,31530976,86362812,1,1
1,67,2,21,9,10,2,2,0,0,4,4,0,12,1,3,1,1,2,45,1,2,2,2,20,3,0,1,1,0,0,9,10,9,22,0,0,0,0,0,0,1,4,0,10095,0,0,2007,1119,738,0,31370003,85094618,2,1
1,9,2,22,18,30,1,1,0,0,2,2,0,42,0,1,4,1,2,55,1,2,2,1,0,0,0,2,1,0,0,18,35,18,47,0,0,0,0,0,0,1,5,0,10096,0,3063,2007,US-SR3,0,0,33553306,86481697,1,1
1,31,2,23,16,28,1,1,0,0,4,3,0,34,0,1,4,1,2,55,1,1,2,1,0,0,0,1,1,0,0,16,30,16,41,0,0,0,0,0,0,1,6,0,10097,0,70,2007,SR-141,0,0,31255145,86103625,1,1
1,109,2,23,22,40,1,2,0,0,4,4,0,42,0,1,4,1,2,45,1,1,2,1,0,0,0,2,1,0,0,22,52,23,1,99,99,0,0,0,0,1,6,1,10098,0,0,2007,1117,0,0,32023909,85571459,1,1
1,127,2,24,3,0,1,1,0,1,3,2,0,35,0,5,8,6,1,25,2,2,2,1,0,0,0,2,1,0,0,6,7,6,18,0,0,0,0,0,0,1,7,0,10099,0,573,2007,US-SR4,SR-118,0,33552248,87370679,1,1
1,55,2,24,5,0,1,1,0,0,6,4,0,34,0,1,4,1,2,35,1,1,2,1,0,0,0,4,1,0,0,99,99,5,30,0,0,0,0,0,0,1,7,1,10100,0,0,2007,1343,0,0,34041096,85544626,1,1
1,113,2,24,12,32,1,1,0,0,4,4,0,42,0,1,4,1,2,45,2,2,2,1,0,0,0,1,1,0,0,12,38,12,59,99,99,0,0,0,0,1,7,1,10101,0,0,2007,1011,0,0,32172780,85171439,1,1
1,89,2,26,8,30,2,3,0,0,6,4,0,12,5,2,1,1,2,40,1,1,2,1,20,3,0,1,1,0,0,8,33,8,40,0,0,0,0,0,0,1,2,0,10102,0,0,2007,1787,8110,0,34473825,86445686,2,1
1,49,2,27,3,0,1,1,0,0,4,4,0,42,0,1,4,1,2,45,1,1,2,1,0,0,0,2,1,0,0,3,40,3,55,0,0,0,0,0,0,1,3,0,10103,0,0,2007,1586,0,0,34333422,85431324,1,1
1,39,3,1,15,0,2,3,0,1,2,2,0,12,2,1,1,2,4,55,1,1,2,2,0,0,0,1,2,0,0,15,12,15,20,99,99,0,0,0,0,2,5,1,10104,2610,0,2007,US-SR12,0,0,31205230,86323099,2,2
